,Gene.stable.ID,HGNC.symbol
1043,ENSG00000281567,SLC25A51P1
1044,ENSG00000167565,SERTAD3
1045,ENSG00000075239,ACAT1
1046,ENSG00000132581,SDF2
1047,ENSG00000234381,MED15P7
1048,ENSG00000277364,ADH5P4
1050,ENSG00000243290,IGKV1-12
1051,ENSG00000197838,CYP2A13
1052,ENSG00000070371,CLTCL1
1053,ENSG00000275290,LILRA2
1056,ENSG00000015153,YAF2
1059,ENSG00000253497,IGKV1-13
1061,ENSG00000163705,FANCD2OS
1062,ENSG00000253265,IGKV2-14
1063,ENSG00000244437,IGKV3-15
1064,ENSG00000254221,PCDHGB1
1067,ENSG00000236253,SLC25A3P1
1068,ENSG00000253537,PCDHGA7
1072,ENSG00000236041,COX6CP18
1074,ENSG00000229414,KCNQ1-AS1
1075,ENSG00000112312,GMNN
1076,ENSG00000090013,BLVRB
1077,ENSG00000232901,CYCSP10
1078,ENSG00000259343,TMC3-AS1
1081,ENSG00000229217,CYCSP11
1082,ENSG00000180385,EMC3-AS1
1083,ENSG00000259470,KRT8P9
1084,ENSG00000240494,RPS12P28
1085,ENSG00000105675,ATP4A
1086,ENSG00000248418,UBL5P1
1087,ENSG00000143006,DMRTB1
1089,ENSG00000236415,PPIAP9
1091,ENSG00000230211,RPL15P4
1092,ENSG00000226492,CUTA
1093,ENSG00000263238,CTSO
1095,ENSG00000204956,PCDHGA1
1096,ENSG00000196597,ZNF782
1098,ENSG00000137821,LRRC49
1099,ENSG00000250587,HPRT1P2
1100,ENSG00000020181,ADGRA2
1102,ENSG00000240764,PCDHGC5
1103,ENSG00000223953,C1QTNF5
1108,ENSG00000235718,MFRP
1109,ENSG00000112576,CCND3
1110,ENSG00000133101,CCNA1
1111,ENSG00000186162,CIDECP1
1114,ENSG00000205221,VIT
1115,ENSG00000254122,PCDHGB7
1117,ENSG00000267333,ASNSP6
1118,ENSG00000240864,IGKV1-16
1119,ENSG00000267165,CHMP1B-AS1
1121,ENSG00000204315,FKBPL
1122,ENSG00000282008,GAPDHP26
1125,ENSG00000179455,MKRN3
1127,ENSG00000144120,TMEM177
1129,ENSG00000261290,CYP4A44P
1132,ENSG00000217824,SNRPEP6
1133,ENSG00000101363,MANBAL
1134,ENSG00000099956,SMARCB1
1138,ENSG00000182218,HHIPL1
1139,ENSG00000282014,TRBV4-1
1140,ENSG00000143183,TMCO1
1141,ENSG00000145354,CISD2
1143,ENSG00000253159,PCDHGA12
1144,ENSG00000107938,EDRF1
1145,ENSG00000237613,FAM138A
1147,ENSG00000127922,SEM1
1148,ENSG00000184350,MRGPRE
1149,ENSG00000148154,UGCG
1150,ENSG00000282803,TRBV5-1
1151,ENSG00000227587,ATP6V1G2
1153,ENSG00000276539,PLPPR1
1154,ENSG00000284668,LINC02780
1155,ENSG00000268020,OR4G4P
1156,ENSG00000241668,RPL19P11
1157,ENSG00000236987,NDUFA5P8
1161,ENSG00000249283,ACTR3BP4
1162,ENSG00000274044,FAM230J
1163,ENSG00000225572,DOCK4-AS1
1165,ENSG00000261934,PCDHGA9
1167,ENSG00000206435,HLA-C
1170,ENSG00000164037,SLC9B1
1171,ENSG00000138798,EGF
1172,ENSG00000249348,UGDH-AS1
1173,ENSG00000243836,WDR86-AS1
1174,ENSG00000253731,PCDHGA6
1176,ENSG00000256574,OR13A1
1177,ENSG00000120659,TNFSF11
1178,ENSG00000163683,SMIM14
1179,ENSG00000223693,SUCLA2P1
1180,ENSG00000129151,BBOX1
1181,ENSG00000205334,LINC01460
1182,ENSG00000225073,DDX39B
1183,ENSG00000250482,DUX4L51
1184,ENSG00000229038,RANP1
1186,ENSG00000253873,PCDHGA11
1188,ENSG00000113361,CDH6
1190,ENSG00000166266,CUL5
1192,ENSG00000198062,POTEH
